Gender,Year,Name,State_Count
F,2014,Sophia,1274
F,2014,Olivia,1255
F,2014,Emma,1211
F,2014,Isabella,1164
F,2014,Mia,990
F,2014,Ava,928
F,2014,Emily,881
F,2014,Abigail,727
F,2014,Madison,726
F,2014,Sofia,631
F,2014,Charlotte,628
F,2014,Leah,626
F,2014,Chloe,616
F,2014,Ella,562
F,2014,Grace,548
F,2014,Gabriella,547
F,2014,Amelia,530
F,2014,Victoria,521
F,2014,Avery,490
F,2014,Sarah,481
F,2014,Elizabeth,440
F,2014,Samantha,427
F,2014,Gianna,402
F,2014,Ariana,398
F,2014,Zoe,390
F,2014,Esther,385
F,2014,Lily,384
F,2014,Evelyn,383
F,2014,Rachel,381
F,2014,Natalie,377
F,2014,Arianna,368
F,2014,Maya,359
F,2014,Hailey,345
F,2014,Layla,345
F,2014,Anna,341
F,2014,Hannah,339
F,2014,Savannah,334
F,2014,Valentina,334
F,2014,Harper,332
F,2014,Ashley,327
F,2014,Allison,325
F,2014,Scarlett,323
F,2014,Aria,317
F,2014,Julia,316
F,2014,Camila,310
F,2014,Aubrey,308
F,2014,Penelope,301
F,2014,Zoey,300
F,2014,Lillian,288
F,2014,Alexa,285
F,2014,Brianna,281
F,2014,Skylar,275
F,2014,Riley,273
F,2014,Bella,271
F,2014,Kayla,266
F,2014,Mila,261
F,2014,Eva,260
F,2014,Alexandra,254
F,2014,Madelyn,254
F,2014,Nora,252
F,2014,Addison,251
F,2014,Sara,251
F,2014,Chaya,250
F,2014,Kaylee,249
F,2014,Aaliyah,246
F,2014,Genesis,246
F,2014,Madeline,244
F,2014,Angelina,243
F,2014,Kylie,243
F,2014,Stella,238
F,2014,Eliana,231
F,2014,Alyssa,230
F,2014,Claire,229
F,2014,Mackenzie,227
F,2014,Peyton,227
F,2014,Violet,227
F,2014,Isabelle,218
F,2014,Audrey,215
F,2014,Taylor,215
F,2014,Melanie,212
F,2014,Katherine,211
F,2014,Sophie,207
F,2014,Naomi,206
F,2014,Miriam,203
F,2014,Sadie,200
F,2014,Khloe,198
F,2014,Nicole,198
F,2014,Alexis,194
F,2014,Jasmine,193
F,2014,Vivian,193
F,2014,Lauren,189
F,2014,Annabelle,188
F,2014,Juliana,186
F,2014,Maria,185
F,2014,Adriana,184
F,2014,Brooke,184
F,2014,Emilia,183
F,2014,London,181
F,2014,Amy,180
F,2014,Autumn,180
F,2014,Eleanor,179
F,2014,Rivka,175
F,2014,Chana,174
F,2014,Lucy,173
F,2014,Serenity,172
F,2014,Alice,171
F,2014,Julianna,169
F,2014,Paige,169
F,2014,Faith,168
F,2014,Brielle,162
F,2014,Kimberly,162
F,2014,Ruby,162
F,2014,Ellie,161
F,2014,Elena,159
F,2014,Caroline,158
F,2014,Rose,158
F,2014,Fiona,157
F,2014,Kaitlyn,157
F,2014,Liliana,157
F,2014,Kennedy,156
F,2014,Mya,156
F,2014,Michelle,154
F,2014,Angela,153
F,2014,Isabel,153
F,2014,Aubree,151
F,2014,Nevaeh,151
F,2014,Sydney,149
F,2014,Alina,145
F,2014,Rebecca,145
F,2014,Morgan,144
F,2014,Makayla,142
F,2014,Catherine,139
F,2014,Molly,139
F,2014,Natalia,139
F,2014,Brooklyn,138
F,2014,Laila,138
F,2014,Quinn,138
F,2014,Jessica,135
F,2014,Stephanie,134
F,2014,Gabrielle,133
F,2014,Lila,133
F,2014,Lydia,132
F,2014,Jade,131
F,2014,Chelsea,129
F,2014,Ariel,128
F,2014,Aurora,128
F,2014,Juliette,127
F,2014,Luna,126
F,2014,Sienna,126
F,2014,Jocelyn,125
F,2014,Francesca,123
F,2014,Mary,123
F,2014,Daniella,122
F,2014,Jennifer,122
F,2014,Clara,121
F,2014,Gabriela,121
F,2014,Melody,121
F,2014,Adrianna,120
F,2014,Nina,120
F,2014,Josephine,119
F,2014,Piper,119
F,2014,Valerie,117
F,2014,Amaya,115
F,2014,Arya,115
F,2014,Andrea,114
F,2014,Ariella,114
F,2014,Daniela,112
F,2014,Jordyn,111
F,2014,Lyla,111
F,2014,Sabrina,111
F,2014,Cecilia,110
F,2014,Gia,110
F,2014,Aliyah,109
F,2014,Giuliana,109
F,2014,Malka,109
F,2014,Diana,108
F,2014,Juliet,108
F,2014,Cora,107
F,2014,Raizy,107
F,2014,Faigy,105
F,2014,Kendall,105
F,2014,Alana,103
F,2014,Margaret,103
F,2014,Emely,102
F,2014,Mckenzie,102
F,2014,Delilah,101
F,2014,Hazel,101
F,2014,Lilly,101
F,2014,Fatima,99
F,2014,Ivy,99
F,2014,Lucia,99
F,2014,Athena,98
F,2014,Amanda,97
F,2014,Anastasia,97
F,2014,Isla,97
F,2014,Leila,97
F,2014,Reagan,97
F,2014,Vanessa,97
F,2014,Amina,96
F,2014,Lena,96
F,2014,Destiny,94
F,2014,Madeleine,94
F,2014,Vivienne,94
F,2014,Malky,93
F,2014,Christina,92
F,2014,Mikayla,92
F,2014,Tessa,92
F,2014,Lia,91
F,2014,Payton,91
F,2014,Jayla,90
F,2014,Mariah,90
F,2014,Arabella,89
F,2014,Arielle,89
F,2014,Kate,89
F,2014,Talia,89
F,2014,Jenna,88
F,2014,Zara,88
F,2014,Annabella,87
F,2014,Gitty,87
F,2014,Mariam,87
F,2014,Reese,87
F,2014,Bailey,86
F,2014,Noelle,86
F,2014,Alessandra,85
F,2014,Eliza,85
F,2014,Eloise,85
F,2014,Genevieve,85
F,2014,Jacqueline,85
F,2014,Maeve,85
F,2014,Megan,85
F,2014,Cali,84
F,2014,Giselle,84
F,2014,Laura,84
F,2014,Summer,84
F,2014,Dylan,83
F,2014,Katelyn,83
F,2014,Lilliana,83
F,2014,Norah,83
F,2014,Amber,82
F,2014,Danielle,82
F,2014,Joanna,81
F,2014,Nyla,81
F,2014,Willow,81
F,2014,Elise,80
F,2014,Keira,80
F,2014,Ana,79
F,2014,Anaya,79
F,2014,Nylah,79
F,2014,Rylee,78
F,2014,Shaindy,78
F,2014,Yitty,78
F,2014,Alison,77
F,2014,Kiara,77
F,2014,Lola,77
F,2014,Alexandria,76
F,2014,Elsa,76
F,2014,Evangeline,76
F,2014,Londyn,76
F,2014,Alivia,75
F,2014,Gemma,75
F,2014,Izabella,75
F,2014,Nadia,75
F,2014,Alaina,74
F,2014,Phoebe,74
F,2014,Aylin,73
F,2014,Bianca,73
F,2014,Paisley,72
F,2014,Cassidy,71
F,2014,Katie,71
F,2014,Serena,71
F,2014,Leilani,70
F,2014,Maryam,70
F,2014,Paris,70
F,2014,Tiffany,70
F,2014,Alicia,69
F,2014,Ayla,69
F,2014,Amira,68
F,2014,Erin,68
F,2014,Hadley,68
F,2014,Harmony,68
F,2014,Iris,68
F,2014,Kelsey,68
F,2014,Melissa,68
F,2014,Rivky,68
F,2014,Valeria,68
F,2014,Adelyn,67
F,2014,Callie,67
F,2014,Jordan,67
F,2014,Angelica,66
F,2014,Aniyah,66
F,2014,Gracie,66
F,2014,Veronica,66
F,2014,Dakota,65
F,2014,Devorah,65
F,2014,Lea,65
F,2014,Selena,65
F,2014,Aisha,64
F,2014,Carly,64
F,2014,Heaven,64
F,2014,Luciana,64
F,2014,Ryleigh,64
F,2014,Adeline,63
F,2014,Briella,63
F,2014,Brynn,63
F,2014,Helen,63
F,2014,Leslie,63
F,2014,Michaela,63
F,2014,Brittany,62
F,2014,Jazmin,62
F,2014,Trinity,62
F,2014,Annie,61
F,2014,Baila,61
F,2014,Jada,61
F,2014,Skyla,61
F,2014,Skyler,61
F,2014,Toby,61
F,2014,Daisy,60
F,2014,Mckenna,60
F,2014,Adelaide,59
F,2014,Beatrice,59
F,2014,Charlie,59
F,2014,Eden,59
F,2014,Emerson,59
F,2014,Everly,59
F,2014,Hope,59
F,2014,Miranda,59
F,2014,Elle,58
F,2014,Hayden,58
F,2014,Julie,58
F,2014,Maggie,58
F,2014,Malia,58
F,2014,Skye,58
F,2014,Elliana,57
F,2014,Liana,57
F,2014,Milania,57
F,2014,Abby,56
F,2014,Adele,56
F,2014,Briana,56
F,2014,Kira,56
F,2014,Melina,56
F,2014,Kelly,55
F,2014,Kendra,55
F,2014,Lana,55
F,2014,Teagan,55
F,2014,Vera,55
F,2014,Adalynn,54
F,2014,Caitlin,54
F,2014,Cynthia,54
F,2014,Eileen,54
F,2014,Georgia,54
F,2014,Giavanna,54
F,2014,Jane,54
F,2014,Lilah,54
F,2014,Ruth,54
F,2014,Camille,53
F,2014,Delaney,53
F,2014,Dina,53
F,2014,Eve,53
F,2014,Nia,53
F,2014,Noa,53
F,2014,Olive,53
F,2014,Anya,52
F,2014,Dahlia,52
F,2014,Kathryn,52
F,2014,Makenzie,52
F,2014,Melany,52
F,2014,Milan,52
F,2014,Pearl,52
F,2014,Ada,51
F,2014,Aleena,51
F,2014,Haylee,51
F,2014,Kayleigh,51
F,2014,Kyla,51
F,2014,Kylee,51
F,2014,Mikaela,51
F,2014,Nova,51
F,2014,Sarai,51
F,2014,Scarlet,51
F,2014,Siena,51
F,2014,Zuri,51
F,2014,Angie,50
F,2014,Annalise,50
F,2014,Heidi,50
F,2014,Marley,50
F,2014,Alayna,49
F,2014,Alexia,49
F,2014,Camilla,49
F,2014,Giovanna,49
F,2014,Imani,49
F,2014,Karen,49
F,2014,Sloane,49
F,2014,Amiyah,48
F,2014,Angel,48
F,2014,Antonia,48
F,2014,Fatoumata,48
F,2014,Parker,48
F,2014,Rosalie,48
F,2014,Elaina,47
F,2014,Kenzie,47
F,2014,Leanna,47
F,2014,Mariana,47
F,2014,Shirley,47
F,2014,Adalyn,46
F,2014,Blake,46
F,2014,Brooklynn,46
F,2014,Celine,46
F,2014,Chava,46
F,2014,Daphne,46
F,2014,Haley,46
F,2014,Hanna,46
F,2014,Madisyn,46
F,2014,Myla,46
F,2014,Samara,46
F,2014,Sasha,46
F,2014,Savanna,46
F,2014,Catalina,45
F,2014,Hindy,45
F,2014,Jaylah,45
F,2014,June,45
F,2014,Karina,45
F,2014,Kaylin,45
F,2014,Simone,45
F,2014,Willa,45
F,2014,Aliza,44
F,2014,Cadence,44
F,2014,Livia,44
F,2014,Makenna,44
F,2014,Sylvia,44
F,2014,Adelina,43
F,2014,Anabelle,43
F,2014,Anne,43
F,2014,Cecelia,43
F,2014,Cindy,43
F,2014,Danna,43
F,2014,Elisa,43
F,2014,Libby,43
F,2014,Ryan,43
F,2014,Alessia,42
F,2014,Alisha,42
F,2014,Bridget,42
F,2014,Carina,42
F,2014,Colette,42
F,2014,Crystal,42
F,2014,Giana,42
F,2014,Hayley,42
F,2014,Lexi,42
F,2014,Maliyah,42
F,2014,Marissa,42
F,2014,Sage,42
F,2014,Sierra,42
F,2014,Sury,42
F,2014,Winter,42
F,2014,Chany,41
F,2014,Jessie,41
F,2014,Kali,41
F,2014,Logan,41
F,2014,Noor,41
F,2014,Rochel,41
F,2014,Tatiana,41
F,2014,Alanna,40
F,2014,Annabel,40
F,2014,April,40
F,2014,Batsheva,40
F,2014,Elaine,40
F,2014,Finley,40
F,2014,Janelle,40
F,2014,Jayleen,40
F,2014,Joy,40
F,2014,Joyce,40
F,2014,Kamila,40
F,2014,Maia,40
F,2014,Pessy,40
F,2014,Raegan,40
F,2014,Zainab,40
F,2014,Bethany,39
F,2014,Caitlyn,39
F,2014,Erika,39
F,2014,Guadalupe,39
F,2014,Helena,39
F,2014,Jamie,39
F,2014,Karla,39
F,2014,Nathalie,39
F,2014,Nechama,39
F,2014,Skylah,39
F,2014,Tiana,39
F,2014,Amirah,38
F,2014,Anabella,38
F,2014,Angelique,38
F,2014,Ciara,38
F,2014,Jillian,38
F,2014,Lilian,38
F,2014,Lina,38
F,2014,Marilyn,38
F,2014,Milana,38
F,2014,Mindy,38
F,2014,Viviana,38
F,2014,Yides,38
F,2014,Allyson,37
F,2014,Aubrie,37
F,2014,Bria,37
F,2014,Irene,37
F,2014,Jazlyn,37
F,2014,Kara,37
F,2014,Rowan,37
F,2014,Ximena,37
F,2014,Aleah,36
F,2014,Alma,36
F,2014,Camryn,36
F,2014,Carolina,36
F,2014,Deborah,36
F,2014,Erica,36
F,2014,Jayda,36
F,2014,Kailey,36
F,2014,Kathleen,36
F,2014,Kiera,36
F,2014,Kristen,36
F,2014,Lindsay,36
F,2014,Madilyn,36
F,2014,Mira,36
F,2014,Phoenix,36
F,2014,Priscilla,36
F,2014,Rosa,36
F,2014,Alanis,35
F,2014,Blima,35
F,2014,Blimy,35
F,2014,Cassandra,35
F,2014,Emery,35
F,2014,Esty,35
F,2014,Holly,35
F,2014,Johanna,35
F,2014,Kailyn,35
F,2014,Kinley,35
F,2014,Kyra,35
F,2014,Lara,35
F,2014,Lilyana,35
F,2014,Lyric,35
F,2014,Monica,35
F,2014,Natasha,35
F,2014,Tenzin,35
F,2014,Carmen,34
F,2014,Dayana,34
F,2014,Esmeralda,34
F,2014,Frances,34
F,2014,Gwendolyn,34
F,2014,Hadassah,34
F,2014,Jazmine,34
F,2014,Jenny,34
F,2014,Journey,34
F,2014,Juniper,34
F,2014,Kinsley,34
F,2014,Maisie,34
F,2014,Marjorie,34
F,2014,Meghan,34
F,2014,Milena,34
F,2014,Nayeli,34
F,2014,Raquel,34
F,2014,Samira,34
F,2014,Sharon,34
F,2014,Yocheved,34
F,2014,Zahra,34
F,2014,Zissy,34
F,2014,Adina,33
F,2014,Alejandra,33
F,2014,Amalia,33
F,2014,Amara,33
F,2014,Averie,33
F,2014,Celeste,33
F,2014,Esme,33
F,2014,Faiga,33
F,2014,Fraidy,33
F,2014,Harley,33
F,2014,Julissa,33
F,2014,Kamryn,33
F,2014,Lacey,33
F,2014,Linda,33
F,2014,Madelynn,33
F,2014,Milani,33
F,2014,Mina,33
F,2014,Salma,33
F,2014,Shoshana,33
F,2014,Thalia,33
F,2014,Ahuva,32
F,2014,Aryanna,32
F,2014,Ayesha,32
F,2014,Bracha,32
F,2014,Casey,32
F,2014,Charley,32
F,2014,Hana,32
F,2014,Jasmin,32
F,2014,Jolie,32
F,2014,Josie,32
F,2014,Kaylie,32
F,2014,Kyleigh,32
F,2014,Lilianna,32
F,2014,Malaysia,32
F,2014,Matilda,32
F,2014,Shea,32
F,2014,Yehudis,32
F,2014,Aileen,31
F,2014,Ainsley,31
F,2014,Alia,31
F,2014,Amelie,31
F,2014,Ashlyn,31
F,2014,Aya,31
F,2014,Christine,31
F,2014,Leia,31
F,2014,Lylah,31
F,2014,Miracle,31
F,2014,Presley,31
F,2014,Selina,31
F,2014,Tori,31
F,2014,Alani,30
F,2014,Alena,30
F,2014,Aliana,30
F,2014,Aminata,30
F,2014,Aniya,30
F,2014,Cataleya,30
F,2014,Elina,30
F,2014,Giada,30
F,2014,Isis,30
F,2014,Itzel,30
F,2014,Nancy,30
F,2014,Raizel,30
F,2014,Shira,30
F,2014,Virginia,30
F,2014,Adelynn,29
F,2014,Bryanna,29
F,2014,Dana,29
F,2014,Devora,29
F,2014,Dorothy,29
F,2014,Elianna,29
F,2014,Hunter,29
F,2014,Jaelyn,29
F,2014,Jaelynn,29
F,2014,Kassidy,29
F,2014,Kaydence,29
F,2014,Lailah,29
F,2014,Lizbeth,29
F,2014,Lorelei,29
F,2014,Lucille,29
F,2014,Maddison,29
F,2014,Mae,29
F,2014,Miah,29
F,2014,Nathaly,29
F,2014,Naya,29
F,2014,Raelynn,29
F,2014,Shayla,29
F,2014,Sonia,29
F,2014,Tara,29
F,2014,Vienna,29
F,2014,Yael,29
F,2014,Alisa,28
F,2014,Aviana,28
F,2014,Aviva,28
F,2014,Brenda,28
F,2014,Charlee,28
F,2014,Ellen,28
F,2014,Emilie,28
F,2014,Felicity,28
F,2014,Harlow,28
F,2014,Haven,28
F,2014,Kaia,28
F,2014,Liba,28
F,2014,Raina,28
F,2014,Rylie,28
F,2014,Sawyer,28
F,2014,Suri,28
F,2014,Amiya,27
F,2014,Anayah,27
F,2014,Ayana,27
F,2014,Danica,27
F,2014,Elisabeth,27
F,2014,Lisa,27
F,2014,Maci,27
F,2014,Shaindel,27
F,2014,Shannon,27
F,2014,Shayna,27
F,2014,Sherlyn,27
F,2014,Sima,27
F,2014,Whitney,27
F,2014,Yasmin,27
F,2014,Zariah,27
F,2014,Zendaya,27
F,2014,Allie,26
F,2014,Alyson,26
F,2014,Amia,26
F,2014,Anisa,26
F,2014,Braelyn,26
F,2014,Celia,26
F,2014,Deanna,26
F,2014,Edith,26
F,2014,Freya,26
F,2014,Gloria,26
F,2014,Gracelyn,26
F,2014,Hailie,26
F,2014,Janiyah,26
F,2014,Katerina,26
F,2014,Keyla,26
F,2014,Leona,26
F,2014,Lianna,26
F,2014,Margot,26
F,2014,Mckayla,26
F,2014,Patricia,26
F,2014,Saige,26
F,2014,Shifra,26
F,2014,Thea,26
F,2014,Wynter,26
F,2014,Amani,25
F,2014,Anabel,25
F,2014,Bruchy,25
F,2014,Chanel,25
F,2014,Courtney,25
F,2014,Elyse,25
F,2014,Emelia,25
F,2014,Flora,25
F,2014,Henny,25
F,2014,Isabela,25
F,2014,Jannat,25
F,2014,Jaylynn,25
F,2014,Joselyn,25
F,2014,Kadence,25
F,2014,Krystal,25
F,2014,Leyla,25
F,2014,Lilyanna,25
F,2014,Mallory,25
F,2014,Marie,25
F,2014,Sally,25
F,2014,Sanaa,25
F,2014,Sandra,25
F,2014,Selah,25
F,2014,Tess,25
F,2014,Yaretzi,25
F,2014,Aicha,24
F,2014,Anais,24
F,2014,Anika,24
F,2014,Cameron,24
F,2014,Claudia,24
F,2014,Denise,24
F,2014,Elsie,24
F,2014,Greta,24
F,2014,Kaelyn,24
F,2014,Khadijah,24
F,2014,Kristina,24
F,2014,Liv,24
F,2014,Louisa,24
F,2014,Macie,24
F,2014,Marianna,24
F,2014,Saniyah,24
F,2014,Sarina,24
F,2014,Tianna,24
F,2014,Alannah,23
F,2014,Alissa,23
F,2014,Avianna,23
F,2014,Britney,23
F,2014,Carmella,23
F,2014,Demi,23
F,2014,Elisheva,23
F,2014,Emmy,23
F,2014,Gina,23
F,2014,Golda,23
F,2014,Jemma,23
F,2014,Kaliyah,23
F,2014,Katalina,23
F,2014,Kayleen,23
F,2014,Kimora,23
F,2014,Lindsey,23
F,2014,Marina,23
F,2014,Myra,23
F,2014,Nicolette,23
F,2014,Raven,23
F,2014,Roselyn,23
F,2014,Rosemary,23
F,2014,Sky,23
F,2014,Yasmine,23
F,2014,Zoya,23
F,2014,Aimee,22
F,2014,Aiza,22
F,2014,Alondra,22
F,2014,Annika,22
F,2014,Arden,22
F,2014,Aryana,22
F,2014,Coraline,22
F,2014,Danika,22
F,2014,Emmeline,22
F,2014,Etty,22
F,2014,Evie,22
F,2014,Goldy,22
F,2014,Heather,22
F,2014,Jaliyah,22
F,2014,Janice,22
F,2014,Kailee,22
F,2014,Kaitlin,22
F,2014,Khadija,22
F,2014,Khaleesi,22
F,2014,Nahla,22
F,2014,Perl,22
F,2014,Rebekah,22
F,2014,Renee,22
F,2014,Rina,22
F,2014,Samiya,22
F,2014,Sanai,22
F,2014,Tamar,22
F,2014,Abrielle,21
F,2014,Angeline,21
F,2014,Azalea,21
F,2014,Blair,21
F,2014,Cara,21
F,2014,Carolyn,21
F,2014,Caylee,21
F,2014,Egypt,21
F,2014,Faye,21
F,2014,Henchy,21
F,2014,Jaida,21
F,2014,Journee,21
F,2014,Katelynn,21
F,2014,Kaya,21
F,2014,Liberty,21
F,2014,Malak,21
F,2014,Mika,21
F,2014,Queenie,21
F,2014,Roizy,21
F,2014,Ruchy,21
F,2014,Sariah,21
F,2014,Sariyah,21
F,2014,Sheila,21
F,2014,Shiloh,21
F,2014,Zahara,21
F,2014,Zelda,21
F,2014,Aarya,20
F,2014,Aliya,20
F,2014,Aminah,20
F,2014,Antonella,20
F,2014,Astrid,20
F,2014,Aubriella,20
F,2014,Avigail,20
F,2014,Barbara,20
F,2014,Carla,20
F,2014,Charlize,20
F,2014,Clare,20
F,2014,Daleyza,20
F,2014,Dalia,20
F,2014,Emmalyn,20
F,2014,Farrah,20
F,2014,Iliana,20
F,2014,Jana,20
F,2014,Jaylene,20
F,2014,Joelle,20
F,2014,Kacey,20
F,2014,Leora,20
F,2014,Lexie,20
F,2014,Lilia,20
F,2014,Madalyn,20
F,2014,Maliah,20
F,2014,Mirel,20
F,2014,Myah,20
F,2014,Nola,20
F,2014,Pamela,20
F,2014,Perel,20
F,2014,Perla,20
F,2014,Rory,20
F,2014,Syeda,20
F,2014,Tamia,20
F,2014,Wendy,20
F,2014,Addisyn,19
F,2014,Amayah,19
F,2014,Ariah,19
F,2014,Ariela,19
F,2014,Audrina,19
F,2014,Cayla,19
F,2014,Charleigh,19
F,2014,Chavy,19
F,2014,Clarissa,19
F,2014,Clementine,19
F,2014,Desiree,19
F,2014,Donna,19
F,2014,Frady,19
F,2014,Hawa,19
F,2014,Ivanna,19
F,2014,Jaslyn,19
F,2014,Jaylin,19
F,2014,Judy,19
F,2014,Julianne,19
F,2014,Laurel,19
F,2014,Lesly,19
F,2014,Litzy,19
F,2014,Liya,19
F,2014,Mariella,19
F,2014,Marlee,19
F,2014,Mckinley,19
F,2014,Meadow,19
F,2014,Miya,19
F,2014,Montserrat,19
F,2014,Nashla,19
